,Faculty of MASSCOM and FSSR,Fakulti Sains Komputer & Matematik 1,Fakulti Sains Komputer & Matematik 2,Kolej Melati,Kolej Mawar ,Block B Faculty Of Applied Sciences,Kolej Seroja,Block C Faculty Of Applied Sciences,Kolej Delima 1,Kolej Delima 3,Kolej Delima 2 (Pusat Kokurikulum),Faculty of Art and Design,Perpustakaan Tun Abdul Razak 1,Taska UiTM Shah Alam,Dewan Platinum Kolej Melati,Dewan Mawar Qaseh,Unit Bengkel Kenderaan UiTM Shah Alam,"Jabatan Pengurusan Perolehan & Aset, Pejabat Bendahari UiTM Shah Alam",Akademi Pengajian Bahasa,Pintu Seksyen 2,Dataran Cendekiawan,Kolej Anggerik,Makmal Fakulti Kejuruteraan Kimia,Kompleks Kolam Renang UiTM Shah Alam,Fakulti Undang-Undang,Masjid Al-Wathiqu Billah Tuanku Mizan Zainal Abidin,Parking Canseleri,Canseleri Tuanku Syed Sirajuddin,Kompleks Kejuruteraan Elektrikal,Fakulti Kejuruteraan Kimia,Hotel UiTM Shah Alam,Kompleks Sukan UiTM Shah Alam,Kolej Perindu,Pusat Kokurikulum,Ibu Pejabat Polis Bantuan UiTM,Kolej Teratai 2,kolej Teratai,Kolej Teratai 3,Kolej Delima 2 (PB),UiTM Facilities Center,Faculty of Civil Engineering,Dewan Sri Budiman,Dewan Annexe,Menara Sultan Abdul Aziz Shah,Bahagian Pembangunan Organisasi,Jabatan Sain Ukur dan Geomatik,DKB,Block A Faculty of Applied Science,Block A Faculty Of Applied Sciences,DK Beta,DK Alfa,DK Delta,DK Gamma & DK Bestari,Block F Faculty Of Applied Sciences,irmi,Malaysian Institut Transport,MITRAN,National Design Centre,Budisiswa,Bangunan HEP,Faculty of Business,"Instititut Leadership, Quality",Ayub Arshad Graduate Business School,Gym Sport Recreation,Dewan Agung Tuanku Canselor,MTDC,Surau FSPU,AB1,AB3,AB2,Kafeteria Kolej Anggerik,Mamakteria Cafe,Pusat Kesihatan UiTM Shah Alam,Non Resident Office,Security Office,Register Office,Pos Polis Bantuan,Stor Sukan,Institut Pengajian Siswazah
Faculty of MASSCOM and FSSR,0,0.330356704,0.333947881,0.888755876,1.098254924,1.235475403,1.270069689,1.266804616,0.723201369,0.924230011,0.932976631,2.082712822,1.52268652,0.465267426,0.639885011,0.965439168,0.953824729,0.966283905,1.396957766,0.804466478,0.752376975,1.687411103,1.180485718,0.565042263,1.491665346,0.8182184,1.023011084,0.92179415,0.413037037,0.473826454,1.549449623,0.99516558,1.097862307,0.924230011,0.741746655,0.722658943,0.494765033,0.741746655,0.457827232,0.553980141,0.707516127,1.669637629,1.724985102,1.777786703,1.67721523,1.234449026,1.777786703,1.31539348,1.392569561,1.31539348,1.31539348,1.229063095,1.249475728,1.055173895,1.175690396,1.234449026,1.234449026,2.082712822,1.540307302,1.619663761,1.356590112,1.299028688,1.483326293,1.372255273,1.410163874,1.586176548,1.767339897,1.693569112,1.693569112,1.693569112,1.563723117,1.231148473,1.194405761,0.675135413,1.375113779,1.495319533,1.385753395,1.175690396,1.570133547
Fakulti Sains Komputer & Matematik 1,0.330356704,0,0.32631354,0.613831027,0.804148777,1.080011969,1.114606255,1.111341181,0.395137008,0.59616565,0.604912269,1.927249387,1.367223085,0.137203064,0.31182065,0.637374806,0.808704429,0.821163605,1.087845595,0.743858896,0.424312613,1.359346742,0.852421357,0.236977901,1.336201911,0.662754965,0.962403502,0.861186568,0.417102653,0.495827263,1.395503803,0.667101218,0.942398872,0.59616565,0.413682293,0.394594581,0.166700671,0.413682293,0.129762871,0.398516706,0.704556391,1.514174194,1.569521667,1.622323268,1.521751795,1.078985591,1.622323268,1.159930045,1.237106126,1.159930045,1.159930045,1.073599661,1.094012293,0.899710461,1.020226962,1.078985591,1.078985591,1.927249387,1.384843867,1.464200327,1.201126677,1.143565253,1.327862859,1.216791838,1.25470044,1.258112186,1.448789069,1.36550475,1.36550475,1.36550475,1.235658755,1.067880356,0.949085426,0.347071051,1.047049417,1.339856098,1.094957077,1.020226962,1.414670112
Fakulti Sains Komputer & Matematik 2,0.333947881,0.32631354,0,0.771235699,0.980734746,1.308123785,1.342718071,1.339452997,0.719158205,0.920186847,0.928933466,2.155361203,1.595334901,0.461224261,0.635841847,0.949976562,0.836304551,0.848763727,1.279437588,0.87711486,0.665097527,1.570441722,1.165023113,0.560999098,1.564313728,0.890866781,1.095659466,0.994442532,0.277581666,0.356306276,1.622098004,0.991122416,1.170510689,0.920186847,0.73770349,0.707196337,0.490721868,0.73770349,0.453784068,0.626628523,0.589995949,1.742286011,1.797633484,1.850435084,1.749863612,1.307097408,1.850435084,1.388041862,1.465217942,1.388041862,1.388041862,1.301711477,1.322124109,1.127822277,1.248338778,1.307097408,1.307097408,2.155361203,1.612955683,1.692312143,1.429238494,1.37167707,1.555974675,1.444903654,1.482812256,1.582133383,1.649819719,1.57659973,1.57659973,1.57659973,1.446753735,1.113628295,1.076885584,0.671092248,1.371070614,1.567967915,1.268233217,1.248338778,1.642781929
Kolej Melati,0.888755876,0.613831027,0.771235699,0,0.686542388,1.370472312,1.481579256,1.401801524,0.857483028,0.611663577,0.620410196,2.294222389,1.53015242,0.599549084,0.302010377,0.526216749,0.550982721,0.563441897,0.976687538,1.206204915,0.241337714,1.248188685,0.7412633,0.699323921,1.499131246,1.125100985,1.424749522,1.323532588,0.662865231,0.685671267,1.762476805,0.682599145,0.982372206,0.611663577,0.403872021,0.283436524,0.629046691,0.403872021,0.484068156,0.860862726,0.43820125,1.771457039,1.826804512,1.98929627,1.888724797,1.369445934,1.98929627,1.450390388,1.527566469,1.450390388,1.450390388,1.364060004,1.384472636,1.190170804,1.310687305,1.369445934,1.369445934,2.294222389,1.547773202,1.627129662,1.364056013,1.306494588,1.490792194,1.256765171,1.294673773,1.273610113,1.337631012,1.254346693,1.254346693,1.254346693,1.124500698,0.828306465,0.782693226,0.337260779,1.062547344,1.7068291,0.980144416,1.310687305,1.480821325
Kolej Mawar ,1.098254924,0.804148777,0.980734746,0.686542388,0,1.518751887,1.629858832,1.550081099,1.046918935,0.759943152,0.768689771,2.442501964,1.678431995,0.789866834,0.492328127,0.353674255,0.197057203,0.420578174,0.538601736,1.396522665,0.451653006,0.82960587,0.331261427,0.888759829,1.647410822,1.315418734,1.615067272,1.513850337,0.872364279,0.895170315,1.91075638,0.830878721,1.130651781,0.759943152,0.57971946,0.409554195,0.818482599,0.57971946,0.674385906,1.051180476,0.58911548,1.919736614,1.975084087,2.137575845,2.037004372,1.517725509,2.137575845,1.598669964,1.675846044,1.598669964,1.598669964,1.512339579,1.532752211,1.338450379,1.45896688,1.517725509,1.517725509,2.442501964,1.696052777,1.775409237,1.512335588,1.454774164,1.639071769,1.405044747,1.442953348,1.129544924,0.908983867,0.835763878,0.835763878,0.835763878,0.705917883,0.38411035,0.329946174,0.513108218,1.122461919,1.855108675,0.527397365,1.45896688,1.6291009
Block B Faculty Of Applied Sciences,1.235475403,1.080011969,1.308123785,1.370472312,1.518751887,0,0.605341139,0.031329212,1.323663969,1.054811669,0.750062116,1.342536144,0.425872468,1.022077907,1.068461934,1.351977917,1.530179027,1.542638204,1.779976316,1.10151607,1.166374756,1.672972041,1.567024467,1.165504863,0.394851295,0.417257004,1.460360571,1.359143636,1.398912899,1.465344967,0.878970889,1.171014976,0.416385278,1.054811669,1.099822775,1.124275946,1.095227633,1.099822775,1.058289832,0.705076532,1.461197676,0.667177087,0.72252456,1.080169883,0.97959841,0.456657457,1.080169883,0.079918077,0.245317312,0.079918077,0.079918077,0.033634395,0.014000324,0.277382327,0.397898828,0.456657457,0.456657457,1.342536144,0.44349325,0.52284971,0.259776061,0.202214637,0.386512242,0.690778243,0.728686845,1.339697476,1.57778246,1.679130049,1.679130049,1.679130049,1.549284054,1.782483466,1.663688536,1.033211533,1.106936966,0.824771927,1.809560188,0.397898828,0.473319496
Kolej Seroja,1.270069689,1.114606255,1.342718071,1.481579256,1.629858832,0.605341139,0,0.636670351,1.358258255,1.165918614,0.86116906,0.967113865,0.654210153,1.056672193,1.179568879,1.463084861,1.641285972,1.653745148,1.91355565,0.648246083,1.277481701,1.898966723,1.678131412,1.200099149,0.861531081,0.45185129,1.108159055,1.006942121,1.433507184,1.499939253,0.425700903,1.28212192,0.64237996,1.165918614,1.210929719,1.23538289,1.129821919,1.210929719,1.092884118,0.739670818,1.57230462,0.554038672,0.609386145,0.662187746,0.561616273,0.370983145,0.662187746,0.685259215,0.762435296,0.685259215,0.685259215,0.598928831,0.619341463,0.394275653,0.207442311,0.370983145,0.370983145,0.967113865,0.671830935,0.913821426,0.726455848,0.668894423,0.853192029,0.916772926,0.954681527,1.565692159,1.803777143,1.905124732,1.905124732,1.905124732,1.775278737,1.893590411,1.77479548,1.144318477,1.332931649,0.379720576,1.920667132,0.207442311,0.939999283
Block C Faculty Of Applied Sciences,1.266804616,1.111341181,1.339452997,1.401801524,1.550081099,0.031329212,0.636670351,0,1.354993182,1.086140882,0.781391328,1.373865357,0.45720168,1.053407119,1.099791147,1.383307129,1.56150824,1.573967416,1.811305528,1.132845282,1.197703968,1.704301253,1.598353679,1.196834075,0.426180507,0.448586216,1.491689783,1.390472848,1.430242111,1.496674179,0.910300101,1.202344188,0.44771449,1.086140882,1.131151987,1.155605158,1.126556845,1.131151987,1.089619044,0.736405744,1.492526888,0.698506299,0.753853772,1.111499095,1.010927622,0.487986669,1.111499095,0.048588864,0.276646524,0.048588864,0.048588864,0.064963608,0.045329536,0.308711539,0.42922804,0.487986669,0.487986669,1.373865357,0.474822462,0.554178922,0.291105273,0.233543849,0.417841454,0.722107455,0.760016057,1.371026688,1.609111672,1.710459261,1.710459261,1.710459261,1.580613266,1.813812678,1.695017748,1.064540745,1.138266178,0.856101139,1.8408894,0.42922804,0.504648708
Kolej Delima 1,0.723201369,0.395137008,0.719158205,0.857483028,1.046918935,1.323663969,1.358258255,1.354993182,0,0.787921994,0.796668614,2.170901388,1.610875086,0.380855065,0.55547265,0.880144965,1.052356429,1.064815606,1.330615754,0.987510896,0.667964614,1.6021169,1.095191515,0.160127161,1.579853912,0.906406966,1.206055503,1.104838569,0.809947318,0.888671928,1.639155803,0.858857563,1.158630623,0.787921994,0.627989823,0.638246582,0.228436337,0.627989823,0.373414871,0.642168707,0.948208392,1.757826195,1.813173668,1.865975269,1.765403796,1.322637592,1.865975269,1.403582046,1.480758127,1.403582046,1.403582046,1.317251661,1.337664294,1.143362461,1.263878962,1.322637592,1.322637592,2.170901388,1.628495868,1.707852327,1.444778678,1.387217254,1.571514859,1.433023589,1.470932191,1.44986853,1.646351339,1.608274909,1.608274909,1.608274909,1.478428914,1.310650514,1.191855584,0.561378581,1.238805762,1.583508099,1.337727236,1.263878962,1.657079742
Kolej Delima 3,0.924230011,0.59616565,0.920186847,0.611663577,0.759943152,1.054811669,1.165918614,1.086140882,0.787921994,0,0.304749554,1.978561746,1.214491778,0.581883707,0.309653199,0.593169182,0.771370292,0.783829469,1.04363997,1.188539538,0.407566021,1.249621859,0.808215732,0.629762888,1.183470604,0.863580997,1.407084145,1.30586721,0.927052922,0.949858958,1.446816162,0.412206241,0.666711563,0,0.34101404,0.365467211,0.559485658,0.34101404,0.491710978,0.843197349,0.702388941,1.455796397,1.51114387,1.673635627,1.573064155,1.053785292,1.673635627,1.134729746,1.211905827,1.134729746,1.134729746,1.048399361,1.068811993,0.874510161,0.995026662,1.053785292,1.053785292,1.978561746,1.23211256,1.311469019,1.04839537,0.990833946,1.175131551,0.941104529,0.979013131,0.957949471,1.154432279,1.255779868,1.255779868,1.255779868,1.125933873,1.023674731,0.904879801,0.274402798,0.746886702,1.391168457,1.050751453,0.995026662,1.165160682
