,Faculty of MASSCOM and FSSR,Fakulti Sains Komputer & Matematik 1,Fakulti Sains Komputer & Matematik 2,Kolej Melati,Kolej Mawar,Block B Faculty Of Applied Sciences,Kolej Seroja,Block C Faculty Of Applied Sciences,Kolej Delima 1,Kolej Delima 3,Kolej Delima 2 (Pusat Kokurikulum),Faculty of Art and Design,Perpustakaan Tun Abdul Razak 1,Taska UiTM Shah Alam,Dewan Platinum Kolej Melati,Dewan Mawar Qaseh,Unit Bengkel Kenderaan UiTM Shah Alam,"Jabatan Pengurusan Perolehan & Aset, Pejabat Bendahari UiTM Shah Alam",Akademi Pengajian Bahasa,Pintu Seksyen 2,Dataran Cendekiawan,Kolej Anggerik,Makmal Fakulti Kejuruteraan Kimia,Kompleks Kolam Renang UiTM Shah Alam,Fakulti Undang-Undang,Masjid Al-Wathiqu Billah Tuanku Mizan Zainal Abidin,Parking Canseleri,Canseleri Tuanku Syed Sirajuddin,Kompleks Kejuruteraan Elektrikal,Fakulti Kejuruteraan Kimia,Kompleks Sukan UiTM Shah Alam,Kolej Perindu,Pusat Kokurikulum,Ibu Pejabat Polis Bantuan UiTM,Kolej Teratai 2,kolej Teratai,Kolej Teratai 3,Kolej Delima 2 (PB),UiTM Facilities Center,Faculty of Civil Engineering,Dewan Sri Budiman,Dewan Annexe,Menara Sultan Abdul Aziz Shah,Bahagian Pembangunan Organisasi,Jabatan Sain Ukur dan Geomatik,DKB,Block A Faculty of Applied Science,Block A Faculty Of Applied Sciences,DK Beta,DK Alfa,DK Delta,DK Gamma & DK Bestari,Block F Faculty Of Applied Sciences,irmi,Malaysian Institut Transport,MITRAN,National Design Centre,Budisiswa,Bangunan HEP,Faculty of Business,"Instititut Leadership, Quality",Ayub Arshad Graduate Business School,Gym Sport Recreation,Dewan Agung Tuanku Canselor,MTDC,Surau FSPU,AB1,AB3,AB2,Kafeteria Kolej Anggerik,Mamakteria Cafe,Pusat Kesihatan UiTM Shah Alam,Non Resident Office,Security Office,Register Office,Pos Polis Bantuan,Stor Sukan,Institut Pengajian Siswazah
Faculty of MASSCOM and FSSR,0,0.33036,0.33395,0.88876,1.09825,1.70336,1.43783,1.73469,0.7232,0.92423,0.93298,2.19075,1.84272,0.46527,0.665,0.81345,0.95382,0.96628,1.4209,0.80447,0.7775,1.68796,1.32225,0.56504,1.8117,1.51213,1.036,0.93478,0.41304,0.47382,0.99517,1.29494,0.92423,0.7643,0.74778,0.49476,0.7643,0.45783,1.79995,0.70751,1.77767,1.83504,1.88582,1.78525,1.67343,1.88582,1.78328,1.86046,1.78328,1.78328,1.69695,1.71736,1.52306,1.50989,1.67343,1.67343,2.19075,1.86034,1.9397,1.67662,1.61906,1.80336,1.56933,1.60724,1.84553,1.76734,1.69412,1.69412,1.69412,1.56428,1.27264,1.1944,0.69769,1.98082,1.63325,1.38575,1.50989,1.79339
Fakulti Sains Komputer & Matematik 1,0.33036,0,0.32631,0.71077,1.0412,1.44711,1.42463,1.47844,0.46695,0.66798,0.67673,2.17754,1.58647,0.20902,0.40876,0.63087,0.90564,0.9181,1.36995,0.79126,0.52125,1.63702,1.26519,0.30879,1.55545,1.25588,1.02279,0.92158,0.4171,0.49583,0.73892,1.03869,0.66798,0.50805,0.49153,0.23852,0.50805,0.20158,1.5437,0.72952,1.76447,1.82183,1.87262,1.77204,1.44609,1.87262,1.52703,1.60421,1.52703,1.52703,1.4407,1.46111,1.26681,1.38733,1.44609,1.44609,2.17754,1.60409,1.68345,1.42037,1.36281,1.54711,1.31308,1.35099,1.79458,1.71639,1.64317,1.64317,1.64317,1.51333,1.22445,1.13735,0.44144,1.72924,1.62005,1.3348,1.38733,1.53714
Fakulti Sains Komputer & Matematik 2,0.33395,0.32631,0,0.77124,0.98073,1.69932,1.51048,1.73065,0.71916,0.92019,0.92894,2.2634,1.83868,0.46123,0.66096,0.69593,0.8363,0.84876,1.30338,0.87711,0.6651,1.57045,1.20473,0.561,1.80765,1.50809,1.10865,1.00743,0.27758,0.35631,0.99112,1.2909,0.92019,0.76026,0.7072,0.49072,0.76026,0.45379,1.79591,0.59,1.85032,1.90769,1.95847,1.8579,1.6983,1.95847,1.77924,1.85642,1.77924,1.77924,1.69291,1.71332,1.51902,1.58254,1.6983,1.6983,2.2634,1.8563,1.93565,1.67258,1.61502,1.79932,1.56529,1.6032,1.72802,1.64982,1.5766,1.5766,1.5766,1.44676,1.15512,1.07689,0.69365,1.8633,1.7059,1.26823,1.58254,1.78935
Kolej Melati,0.88876,0.71077,0.77124,0,0.68654,1.3908,1.5019,1.42213,0.8826,0.61166,0.62041,2.31455,1.53015,0.62467,0.30201,0.27622,0.55098,0.56344,1.01529,1.42792,0.24134,1.28236,0.91054,0.72444,1.49913,1.19957,1.65945,1.55824,0.66286,0.68567,0.6826,0.98237,0.61166,0.40387,0.28344,0.65417,0.40387,0.50919,1.48739,0.4382,1.77146,1.82882,2.00962,1.90905,1.38977,2.00962,1.47071,1.54789,1.47071,1.47071,1.38438,1.4048,1.21049,1.33101,1.38977,1.38977,2.31455,1.54777,1.62713,1.36405,1.30649,1.49079,1.25676,1.29467,1.43993,1.36174,1.28852,1.28852,1.28852,1.15867,0.8698,0.78269,0.33726,1.57521,1.72715,0.98015,1.33101,1.48082
Kolej Mawar,1.09825,1.0412,0.98073,0.68654,0,1.68606,1.79717,1.71739,1.1939,0.90693,0.91567,2.60981,1.82542,0.9551,0.63244,0.4756,0.19706,0.42058,0.56255,1.65876,0.51999,0.82961,0.45779,1.03575,1.7944,1.49483,1.8903,1.78908,0.87236,0.89517,0.97786,1.27764,0.90693,0.7267,0.54967,0.96547,0.7267,0.83962,1.78265,0.58912,2.06672,2.12409,2.30489,2.20431,1.68504,2.30489,1.76598,1.84316,1.76598,1.76598,1.67965,1.70006,1.50576,1.62628,1.68504,1.68504,2.60981,1.84304,1.92239,1.65932,1.60176,1.78606,1.49373,1.58994,0.98718,0.90899,0.83577,0.83577,0.83577,0.70592,0.4256,0.32995,0.66009,1.12247,2.02242,0.5274,1.62628,1.77609
Block B Faculty Of Applied Sciences,1.70336,1.44711,1.69932,1.3908,1.68606,0,0.61947,0.03133,1.56705,1.07514,0.77039,1.34254,0.42587,1.36102,1.08879,1.27573,1.5505,1.56296,1.77998,1.14458,1.1867,1.67297,1.91005,1.4089,0.39485,0.41726,1.59228,1.49106,1.70618,1.72899,1.19134,0.41638,1.07514,1.12015,1.1446,1.33862,1.12015,1.29596,0.70508,1.48152,0.66718,0.72454,1.08017,0.9796,0.45666,1.08017,0.07992,0.24532,0.07992,0.07992,0.03363,0.014,0.27738,0.3979,0.45666,0.45666,1.34254,0.44349,0.52285,0.25977,0.20221,0.38651,0.69078,0.72869,1.19733,1.57778,1.67913,1.67913,1.67913,1.54928,1.86931,1.78221,1.05354,1.10694,0.84145,1.89565,0.3979,0.47332
Kolej Seroja,1.43783,1.42463,1.51048,1.5019,1.79717,0.61947,0,0.6508,1.67816,1.18624,0.88149,0.96711,0.65421,1.47212,1.19989,1.38684,1.66161,1.67406,2.0263,0.67463,1.2978,1.91929,2.02116,1.52,0.87566,0.45185,1.12232,1.0211,1.60127,1.6677,1.30244,0.6627,1.18624,1.23125,1.2557,1.44972,1.23125,1.40707,0.73967,1.59263,0.55404,0.6114,0.66219,0.56162,0.38767,0.66219,0.69939,0.77656,0.69939,0.69939,0.61306,0.63347,0.41096,0.22412,0.38767,0.38767,0.96711,0.67183,0.91382,0.74058,0.68302,0.86732,0.9371,0.975,1.44364,1.8241,1.92545,1.92545,1.92545,1.7956,1.98042,1.89332,1.16464,1.35325,0.37972,2.09077,0.22412,0.95413
Block C Faculty Of Applied Sciences,1.73469,1.47844,1.73065,1.42213,1.71739,0.03133,0.6508,0,1.59838,1.10646,0.80172,1.37386,0.4572,1.39235,1.12012,1.30706,1.58183,1.59429,1.81131,1.17591,1.21803,1.7043,1.94138,1.44022,0.42618,0.44859,1.6236,1.52239,1.73751,1.76032,1.22267,0.44771,1.10646,1.15148,1.17593,1.36995,1.15148,1.32729,0.73641,1.51285,0.69851,0.75587,1.1115,1.01093,0.48799,1.1115,0.04859,0.27665,0.04859,0.04859,0.06496,0.04533,0.30871,0.42923,0.48799,0.48799,1.37386,0.47482,0.55418,0.2911,0.23354,0.41784,0.72211,0.76002,1.22866,1.60911,1.71046,1.71046,1.71046,1.58061,1.90064,1.81354,1.08486,1.13826,0.87278,1.92698,0.42923,0.50465
Kolej Delima 1,0.7232,0.46695,0.71916,0.8826,1.1939,1.56705,1.67816,1.59838,0,0.78792,0.79667,2.4908,1.70641,0.38085,0.58059,0.78358,1.05834,1.0708,1.52266,1.1841,0.69308,1.78972,1.4179,0.16013,1.67539,1.37582,1.41564,1.31442,0.80995,0.88867,0.85886,1.15863,0.78792,0.62799,0.65244,0.22844,0.62799,0.37341,1.66364,0.97333,1.94771,2.00508,2.18588,2.08531,1.56603,2.18588,1.64697,1.72415,1.64697,1.64697,1.56064,1.58105,1.38675,1.50727,1.56603,1.56603,2.4908,1.72403,1.80339,1.54031,1.48275,1.66705,1.43302,1.47093,1.93957,1.8691,1.79588,1.79588,1.79588,1.66603,1.37716,1.29005,0.56138,1.84918,1.90341,1.48751,1.50727,1.65708
Kolej Delima 3,0.92423,0.66798,0.92019,0.61166,0.90693,1.07514,1.18624,1.10646,0.78792,0,0.30475,1.99889,1.21449,0.58188,0.30965,0.4966,0.77137,0.78383,1.23568,1.38513,0.40757,1.50275,1.13092,0.62976,1.18347,0.8839,1.61667,1.51545,0.92705,0.94986,0.41221,0.66671,0,0.34101,0.36547,0.55949,0.34101,0.51683,1.17172,0.70239,1.4558,1.51316,1.69396,1.59339,1.07411,1.69396,1.15505,1.23223,1.15505,1.15505,1.06872,1.08914,0.89483,1.01535,1.07411,1.07411,1.99889,1.23211,1.31147,1.04839,0.99083,1.17513,0.9411,0.97901,1.44765,1.58212,1.5089,1.5089,1.5089,1.37906,1.09018,1.00308,0.2744,1.35726,1.41149,1.20053,1.01535,1.16516
