,Faculty of MASSCOM and FSSR,Fakulti Sains Komputer & Matematik 1,Fakulti Sains Komputer & Matematik 2,Kolej Melati,Kolej Mawar,Block B Faculty Of Applied Sciences,Kolej Seroja,Block C Faculty Of Applied Sciences,Kolej Delima 1,Kolej Delima 3,Kolej Delima 2 (Pusat Kokurikulum),Faculty of Art and Design,Perpustakaan Tun Abdul Razak 1,Taska UiTM Shah Alam,Dewan Platinum Kolej Melati,Dewan Mawar Qaseh,Unit Bengkel Kenderaan UiTM Shah Alam,"Jabatan Pengurusan Perolehan & Aset, Pejabat Bendahari UiTM Shah Alam",Akademi Pengajian Bahasa,Pintu Seksyen 2,Dataran Cendekiawan,Kolej Anggerik,Makmal Fakulti Kejuruteraan Kimia,Kompleks Kolam Renang UiTM Shah Alam,Fakulti Undang-Undang,Masjid Al-Wathiqu Billah Tuanku Mizan Zainal Abidin,Parking Canseleri,Canseleri Tuanku Syed Sirajuddin,Kompleks Kejuruteraan Elektrikal,Fakulti Kejuruteraan Kimia,Hotel UiTM Shah Alam,Kompleks Sukan UiTM Shah Alam,Kolej Perindu,Pusat Kokurikulum,Ibu Pejabat Polis Bantuan UiTM,Kolej Teratai 2,kolej Teratai,Kolej Teratai 3,Kolej Delima 2 (PB),UiTM Facilities Center,Faculty of Civil Engineering,Dewan Sri Budiman,Dewan Annexe,Menara Sultan Abdul Aziz Shah,Bahagian Pembangunan Organisasi,Jabatan Sain Ukur dan Geomatik,DKB,Block A Faculty of Applied Science,Block A Faculty Of Applied Sciences,DK Beta,DK Alfa,DK Delta,DK Gamma & DK Bestari,Block F Faculty Of Applied Sciences,irmi,Malaysian Institut Transport,MITRAN,National Design Centre,Budisiswa,Bangunan HEP,Faculty of Business,"Instititut Leadership, Quality",Ayub Arshad Graduate Business School,Gym Sport Recreation,Dewan Agung Tuanku Canselor,MTDC,Surau FSPU,AB1,AB3,AB2,Kafeteria Kolej Anggerik,Mamakteria Cafe,Pusat Kesihatan UiTM Shah Alam,Non Resident Office,Security Office,Register Office,Pos Polis Bantuan,Stor Sukan,Institut Pengajian Siswazah
Faculty of MASSCOM and FSSR,0.0,0.33,0.334,0.889,1.098,1.235,1.27,1.267,0.723,0.924,0.933,2.083,1.523,0.465,0.64,0.965,0.954,0.966,1.397,0.804,0.752,1.687,1.18,0.565,1.492,0.818,1.023,0.922,0.413,0.474,1.376,0.995,1.098,0.924,0.742,0.723,0.495,0.742,0.458,0.554,0.708,1.67,1.725,1.778,1.677,1.234,1.778,1.315,1.393,1.315,1.315,1.229,1.249,1.055,1.176,1.234,1.234,1.828,1.54,1.62,1.357,1.299,1.483,1.372,1.41,1.586,1.767,1.694,1.694,1.694,1.564,1.231,1.194,0.675,1.375,1.495,1.386,1.176,1.57
Fakulti Sains Komputer & Matematik 1,0.33,0.0,0.326,0.614,0.804,1.08,1.115,1.111,0.395,0.596,0.605,1.927,1.367,0.137,0.312,0.637,0.809,0.821,1.088,0.744,0.424,1.359,0.852,0.237,1.336,0.663,0.962,0.861,0.417,0.496,1.315,0.667,0.942,0.596,0.414,0.395,0.167,0.414,0.13,0.399,0.705,1.514,1.57,1.622,1.522,1.079,1.622,1.16,1.237,1.16,1.16,1.074,1.094,0.9,1.02,1.079,1.079,1.674,1.385,1.464,1.201,1.144,1.328,1.217,1.255,1.258,1.449,1.366,1.366,1.366,1.236,1.068,0.949,0.347,1.047,1.34,1.095,1.02,1.415
Fakulti Sains Komputer & Matematik 2,0.334,0.326,0.0,0.771,0.981,1.308,1.343,1.339,0.719,0.92,0.929,2.155,1.595,0.461,0.636,0.95,0.836,0.849,1.279,0.877,0.665,1.57,1.165,0.561,1.564,0.891,1.096,0.994,0.278,0.356,1.448,0.991,1.171,0.92,0.738,0.707,0.491,0.738,0.454,0.627,0.59,1.742,1.798,1.85,1.75,1.307,1.85,1.388,1.465,1.388,1.388,1.302,1.322,1.128,1.248,1.307,1.307,1.9,1.613,1.692,1.429,1.372,1.556,1.445,1.483,1.582,1.65,1.577,1.577,1.577,1.447,1.114,1.077,0.671,1.371,1.568,1.268,1.248,1.643
Kolej Melati,0.889,0.614,0.771,0.0,0.687,1.37,1.482,1.402,0.857,0.612,0.62,2.294,1.53,0.6,0.302,0.526,0.551,0.563,0.977,1.206,0.241,1.248,0.741,0.699,1.499,1.125,1.425,1.324,0.663,0.686,1.777,0.683,0.982,0.612,0.404,0.283,0.629,0.404,0.484,0.861,0.438,1.771,1.827,1.989,1.889,1.369,1.989,1.45,1.528,1.45,1.45,1.364,1.384,1.19,1.311,1.369,1.369,2.041,1.548,1.627,1.364,1.306,1.491,1.257,1.295,1.274,1.338,1.254,1.254,1.254,1.125,0.828,0.783,0.337,1.063,1.707,0.98,1.311,1.481
Kolej Mawar,1.098,0.804,0.981,0.687,0.0,1.519,1.63,1.55,1.047,0.76,0.769,2.442,1.678,0.79,0.492,0.354,0.197,0.421,0.539,1.397,0.452,0.83,0.331,0.889,1.647,1.315,1.615,1.514,0.872,0.895,1.942,0.831,1.131,0.76,0.58,0.41,0.818,0.58,0.674,1.051,0.589,1.92,1.975,2.138,2.037,1.518,2.138,1.599,1.676,1.599,1.599,1.512,1.533,1.338,1.459,1.518,1.518,2.189,1.696,1.775,1.512,1.455,1.639,1.405,1.443,1.13,0.909,0.836,0.836,0.836,0.706,0.384,0.33,0.513,1.122,1.855,0.527,1.459,1.629
Block B Faculty Of Applied Sciences,1.235,1.08,1.308,1.37,1.519,0.0,0.605,0.031,1.324,1.055,0.75,1.343,0.426,1.022,1.068,1.352,1.53,1.543,1.78,1.102,1.166,1.673,1.567,1.166,0.395,0.417,1.46,1.359,1.399,1.465,0.911,1.171,0.416,1.055,1.1,1.124,1.095,1.1,1.058,0.705,1.461,0.667,0.723,1.08,0.98,0.457,1.08,0.08,0.245,0.08,0.08,0.034,0.014,0.277,0.398,0.457,0.457,1.157,0.443,0.523,0.26,0.202,0.387,0.691,0.729,1.34,1.578,1.679,1.679,1.679,1.549,1.782,1.664,1.033,1.107,0.825,1.81,0.398,0.473
Kolej Seroja,1.27,1.115,1.343,1.482,1.63,0.605,0.0,0.637,1.358,1.166,0.861,0.967,0.654,1.057,1.18,1.463,1.641,1.654,1.914,0.648,1.277,1.899,1.678,1.2,0.862,0.452,1.108,1.007,1.434,1.5,0.457,1.282,0.642,1.166,1.211,1.235,1.13,1.211,1.093,0.74,1.572,0.554,0.609,0.662,0.562,0.371,0.662,0.685,0.762,0.685,0.685,0.599,0.619,0.394,0.207,0.371,0.371,0.704,0.672,0.914,0.726,0.669,0.853,0.917,0.955,1.566,1.804,1.905,1.905,1.905,1.775,1.894,1.775,1.144,1.333,0.38,1.921,0.207,0.94
Block C Faculty Of Applied Sciences,1.267,1.111,1.339,1.402,1.55,0.031,0.637,0.0,1.355,1.086,0.781,1.374,0.457,1.053,1.1,1.383,1.562,1.574,1.811,1.133,1.198,1.704,1.598,1.197,0.426,0.449,1.492,1.39,1.43,1.497,0.942,1.202,0.448,1.086,1.131,1.156,1.127,1.131,1.09,0.736,1.493,0.699,0.754,1.112,1.011,0.488,1.112,0.049,0.277,0.049,0.049,0.065,0.045,0.309,0.429,0.488,0.488,1.188,0.475,0.554,0.291,0.234,0.418,0.722,0.76,1.371,1.609,1.71,1.71,1.71,1.581,1.814,1.695,1.065,1.138,0.856,1.841,0.429,0.505
Kolej Delima 1,0.723,0.395,0.719,0.857,1.047,1.324,1.358,1.355,0.0,0.788,0.797,2.171,1.611,0.381,0.555,0.88,1.052,1.065,1.331,0.988,0.668,1.602,1.095,0.16,1.58,0.906,1.206,1.105,0.81,0.889,1.559,0.859,1.159,0.788,0.628,0.638,0.228,0.628,0.373,0.642,0.948,1.758,1.813,1.866,1.765,1.323,1.866,1.404,1.481,1.404,1.404,1.317,1.338,1.143,1.264,1.323,1.323,1.917,1.628,1.708,1.445,1.387,1.572,1.433,1.471,1.45,1.646,1.608,1.608,1.608,1.478,1.311,1.192,0.561,1.239,1.584,1.338,1.264,1.657
Kolej Delima 3,0.924,0.596,0.92,0.612,0.76,1.055,1.166,1.086,0.788,0.0,0.305,1.979,1.214,0.582,0.31,0.593,0.771,0.784,1.044,1.189,0.408,1.25,0.808,0.63,1.183,0.864,1.407,1.306,0.927,0.95,1.478,0.412,0.667,0.0,0.341,0.365,0.559,0.341,0.492,0.843,0.702,1.456,1.511,1.674,1.573,1.054,1.674,1.135,1.212,1.135,1.135,1.048,1.069,0.875,0.995,1.054,1.054,1.725,1.232,1.311,1.048,0.991,1.175,0.941,0.979,0.958,1.154,1.256,1.256,1.256,1.126,1.024,0.905,0.274,0.747,1.391,1.051,0.995,1.165
